token||
element||
operand|element|
operator|operand|
plus|operator|
minus|operator|
unaryPlus|operator|
unaryMinus|operator|
postfixInc|operator|
postfixDec|operator|
prefixInc|operator|
prefixDec|operator|
and|operator|
or|operator|
not|operator|
equal|operator|
notequal|operator|
less|operator|
lesseq|operator|
greater|operator|
greatereq|operator|
ternaryConditional|operator|
comma|operator|
multiplication|operator|
division|operator|
power|operator|
brackets|operator|
parenthesis|element|
